SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2,"ISTITUTO SUPERIORE ""F. CALASSO""",LECCE,LEIS04400C,VIA BELICE,40.3687858,18.1721225,,ISTITUTO SUPERIORE,LEIS04400C,73100
True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0,"IISS ""VIRGILIO"" LECCE",LECCE,LEPC04601B,VIA GALILEO GALILEI 4,40.3464145,18.1562841,http://www.liceovirgilio.gov.it,LICEO CLASSICO,LEIS046004,73100
True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0,"IISS ""VIRGILIO"" LECCE",LECCE,LEIS046004,VIA GALILEO GALILEI 4,40.3464145,18.1562841,,ISTITUTO SUPERIORE,LEIS046004,73100
True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0,ASCANIO GRANDI,LECCE,LEMM00600E,VIA FRANCESCO PATITARI 2,40.3471934,18.1835221,http://www.ascaniograndi.it,SCUOLA PRIMO GRADO,LEMM00600E,73100
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.0,"LICEO CLASSICO MUSICALE ""PALMIERI""",LECCE,LEPC03000R,VIALE DELL'UNIVERSITA' 12,40.35288370000001,18.1647209,http://www.liceopalmieri.it,LICEO CLASSICO,LEPC03000R,73100
True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,True,2.4,LICEO PIETRO SICILIANI,LECCE,LEPM01000Q,VIA DI LEUCA ,40.3454513,18.1744714,http://www.liceosicilianilecce.gov.it,ISTITUTO MAGISTRALE,LEPM01000Q,73100
True,True,False,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,LICEO SCIENTIFICO BANZI BAZOLI GIULIETTA,LECCE,LEPS07000A,PIAZZA PALIO,40.3613152,18.1926779,http://www.liceobanzi.gov.it,LICEO SCIENTIFICO,LEPS07000A,73100
True,False,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8,"LICEO ART. E COREUT. ""CIARDO-PELLEGRINO""",LECCE,LESL030506,VIA VECCHIA COPERTINO 6,40.3321912,18.1432402,http://www.iissotrantopoggiardo.it,LICEO ARTISTICO,LESL03000R,73100
True,False,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8,"LICEO ART. E COREUT. ""CIARDO-PELLEGRINO""",LECCE,LESL03000R,VIA VECCHIA COPERTINO 6  LECCE,40.3321912,18.1432402,http://www.liceociardopellegrinolecce.gov.it,LICEO ARTISTICO,LESL03000R,73100
False,False,False,True,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,2.8,"IST.TECNICO ""GRAZIA DELEDDA""-LECCE",LECCE,LETE010002,PIAZZA DEL PALIO 1,40.36039705,18.194838160388,http://www.itdeleddalecce.gov.it,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF),LETE010002,73100
