NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
IPSIA A. ODERO,GENOVA,GERI02000N,VIA BRISCATA 4,44.428992799999996,8.8405023,http://www.ipsiaodero.gov.it,IST PROF INDUSTRIA E ARTIGIANATO,GERI02000N,16154
ISTITUTO COMPRENSIVO SESTRI,GENOVA,GEAA83903V,VIA VADO 39 A,44.42640720000001,8.8449127,http://www.icsestri.it,SCUOLA INFANZIA,GEIC83900X,16154
I.C. MADDALENA-BERTANI,GENOVA,GEMM854013,SALITA BATTISTINE 12,44.411843499999996,8.9360906,http://www.maddalena-bertani.gov.it,SCUOLA PRIMO GRADO,GEIC854002,16125
IPSSA N.BERGESE,GENOVA,GERH02050G,VIA GIOTTO 8,44.4233367,8.8547756,http://www.istitutobergese.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,GERH020006,16153
I.C. STAGLIENO,GENOVA,GEMM824017,VIA LODI,44.439819299999996,8.959935699999999,http://www.icstaglieno.gov.it,SCUOLA PRIMO GRADO,GEIC824006,16138
I.C. MADDALENA-BERTANI,GENOVA,GEEE854025,VIA RICCI 8,44.407217700000004,8.944224400000001,http://www.maddalena-bertani.gov.it,SCUOLA PRIMARIA,GEIC854002,16122
IS FIRPO-BUONARROTI,GENOVA,GETL007019,VIA CANEVARI 51,44.413598,8.9516371,http://www.firpobuonarroti.gov.it,ISTITUTO TECNICO PER GEOMETRI,GEIS00700L,16137
ISTITUTO COMPRENSIVO SESTRI,GENOVA,GEAA83902T,VIA SAN GIOVANNI BATTISTA 36 A,44.4297657,8.8444803,http://www.icsestri.it,SCUOLA INFANZIA,GEIC83900X,16154
IPSSA N.BERGESE,GENOVA,GERH020006,VIA GIOTTO 8,44.4233367,8.8547756,http://www.istitutobergese.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,GERH020006,16153
I.C. MADDALENA-BERTANI,GENOVA,GEEE854036,VIA DELLA CONCEZIONE 2,44.4122795,8.931980900000001,http://www.maddalena-bertani.gov.it,SCUOLA PRIMARIA,GEIC854002,16124
IS FIRPO-BUONARROTI,GENOVA,GETN00701R,VIA CANEVARI 51,44.413598,8.9516371,http://www.firpobuonarroti.gov.it,ISTITUTO TECNICO PER IL TURISMO,GEIS00700L,16137
I.C. MADDALENA-BERTANI,GENOVA,GEAA85402X,VIA S.BARTOLOMEO DEGLI ARMENI 1,44.4114076,8.942817199999999,http://www.maddalena-bertani.gov.it,SCUOLA INFANZIA,GEIC854002,16122
IS FIRPO-BUONARROTI,GENOVA,GETL00751P,VIA CANEVARI 51,44.413598,8.9516371,http://www.firpobuonarroti@gov.it,ISTITUTO TECNICO PER GEOMETRI,GEIS00700L,16137
I.C. MADDALENA-BERTANI,GENOVA,GEEE854014,SALITA DELLE BATTISTINE 16,44.4120093,8.9366061,http://www.maddalena-bertani.gov.it,SCUOLA PRIMARIA,GEIC854002,16125
IPSSA M.POLO,GENOVA,GERH010501,VIA SCIACCALUGA 9,44.4305178,8.9517085,http://www.marcopolo.gov.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,GERH01000G,16147
IS FIRPO-BUONARROTI,GENOVA,GEIS00700L,VIA CANEVARI 51,44.413598,8.9516371,,ISTITUTO SUPERIORE,GEIS00700L,16137
ISTITUTO COMPRENSIVO SESTRI,GENOVA,GEMM839011,VIA VADO 39,44.42640720000001,8.8449127,http://www.icsestri.it,SCUOLA PRIMO GRADO,GEIC83900X,16154
I.C. MADDALENA-BERTANI,GENOVA,GEAA85401V,CALATA ANDALO' DINEGRO 1,44.413569200000005,8.9234088,http://www.maddalena-bertani.gov.it,SCUOLA INFANZIA,GEIC854002,16126
ISTITUTO COMPRENSIVO SESTRI,GENOVA,GEEE839023,VIA SANT'ALBERTO 18 A,44.432347,8.838643199999998,http://www.icsestri.it,SCUOLA PRIMARIA,GEIC83900X,16154
IS FIRPO-BUONARROTI,GENOVA,GERI007018,VIA CANEVARI 51,44.413598,8.9516371,http://www.istitutobergese.it,IST PROF INDUSTRIA E ARTIGIANATO,GEIS00700L,16137
I.I.S. E. MONTALE-NUOVO I.P.C,GENOVA,GEIS003009,VIA TIMAVO 63,44.4032752,8.9839966,,ISTITUTO SUPERIORE,GEIS003009,16132
I.O.CONVITTO/SEC.IGR.DON MILANI,GENOVA,GEMM181008,CORSO CARBONARA 7G,44.41660770000001,8.9293814,http://http//www.convittocolombo.gov.it,SCUOLA PRIMO GRADO,GEMM181008,16124
I.C. SAN FRUTTUOSO,GENOVA,GEAA808015,VIA DONGHI 8,44.41211320000001,8.9697331,http://www.icsanfruttuoso.it,SCUOLA INFANZIA,GEIC808008,16132
CPIA CENTRO PONENTE,GENOVA,GEMM70201D,VIA CONI ZUGNA 31,44.498900899999995,8.8967264,,SCUOLA PRIMO GRADO,GEMM18600B,16164
I.C. STURLA,GENOVA,GEAA860016,VIA BOTTINI 43,44.40140435,8.98414094745457,http://www.icsturla.gov.it,SCUOLA INFANZIA,GEIC860009,16147
I.C. SAN FRUTTUOSO,GENOVA,GEEE80802B,VIA DONGHI 10,44.4128669,8.9719587,http://www.icsanfruttuoso.it,SCUOLA PRIMARIA,GEIC808008,16132
I.C. SAN FRUTTUOSO,GENOVA,GEMM808019,VIA BERGHINI 1,44.41330315,8.97143327298656,http://www.icsanfruttuoso.it,SCUOLA PRIMO GRADO,GEIC808008,16132
CPIA CENTRO PONENTE,GENOVA,GECT70000E,VICO NICOLO' DA CORTE 2,44.4296177,8.7500753,,CENTRO TERRITORIALE,GEMM18600B,16158
CPIA CENTRO PONENTE,GENOVA,GECT70100A,VIA BOLOGNA ,44.418459399999996,8.9088581,,CENTRO TERRITORIALE,GEMM18600B,16127
I.C. CENTRO STORICO,GENOVA,GEMM80701D,VICO DI MEZZAGALERA 4,44.4055768,8.932623300000001,http://www.iccentrostoricoge.it,SCUOLA PRIMO GRADO,GEIC80700C,16123
CPIA CENTRO PONENTE,GENOVA,GEMM18600B,VIA PAGANO DORIA 12,44.4171697,8.9158699,http://http//www.convittocolombo.gov.it,SCUOLA PRIMO GRADO,GEMM18600B,16126
I.C. SAN MARTINO/BORGORATTI,GENOVA,GEEE862024,VIA CASALE 11,44.4316211,9.0184397,http://www.icsmb.gov.it,SCUOLA PRIMARIA,GEIC862001,16133
CPIA CENTRO PONENTE,GENOVA,GEEE70201E,VIA CONI ZUGNA 31,44.498900899999995,8.8967264,,SCUOLA PRIMARIA,GEMM18600B,16164
I.C. LAGACCIO,GENOVA,GEIC82600T,VIA NAPOLI 60,44.4244751,8.9188609,,ISTITUTO COMPRENSIVO,GEIC82600T,16134
I.C. BARABINO,GENOVA,GEEE85201C,VIA S.BARTOLOMEO DEL FOSSATO 79 B,44.413194299999994,8.9034289,http://www.icbarabino.gov.it,SCUOLA PRIMARIA,GEIC85200A,16149
I.C. SAMPIERDARENA,GENOVA,GEIC85100E,PIAZZA DEL MONASTERO 6,44.41030505,8.88922074476851,,ISTITUTO COMPRENSIVO,GEIC85100E,16149
I.C. LAGACCIO,GENOVA,GEAA82602Q,VIA NAPOLI 46,44.4256804,8.918343199999999,http://www.lagaccio.gov.it,SCUOLA INFANZIA,GEIC82600T,16134
I.C. SAMPIERDARENA,GENOVA,GEEE85102N,VIA CURRO' 23,44.417312100000004,8.887265600000001,http://www.icsampierdarena.gov.it,SCUOLA PRIMARIA,GEIC85100E,16151
I.C. SAMPIERDARENA,GENOVA,GEAA85101B,VIA CURRO' 23,44.417312100000004,8.887265600000001,http://www.icsampierdarena.gov.it,SCUOLA INFANZIA,GEIC85100E,16151
I.C. SAMPIERDARENA,GENOVA,GEMM85101G,PIAZZA DEL MONASTERO 6,44.41030505,8.88922074476851,http://www.icsampierdarena.it,SCUOLA PRIMO GRADO,GEIC85100E,16149
I.C. LAGACCIO,GENOVA,GEAA82603R,VIA MACULANO 14,44.425215,8.9254722,http://www.scuolegelagaccio.it,SCUOLA INFANZIA,GEIC82600T,16135
I.C. LAGACCIO,GENOVA,GEMM82601V,VIA NAPOLI 62,44.424384100000005,8.9186657,http://www.scuolegelagaccio.it,SCUOLA PRIMO GRADO,GEIC82600T,16134
I.C. SAN MARTINO/BORGORATTI,GENOVA,GEEE862068,SALITA SUPERIORE DELLA NOCE 78,44.4070101,8.9757119,http://www.icsmb.gov.it,SCUOLA PRIMARIA,GEIC862001,16131
ISTITUTO ISTRUZIONE SUPERIORE C.ROSSELLI,GENOVA,GERC02201N,VIA GIOTTO 10,44.4233367,8.8547756,http://www.istitutorosselli.gov.it,IST PROF PER I SERVIZI COMMERCIALI,GEIS02200P,16153
I.C. PEGLI,GENOVA,GEAA85003N,VIA OPISSO 37,44.426465,8.8190419,http://www.istitutocomprensivopegli.gov.it,SCUOLA INFANZIA,GEIC85000P,16155
I.C. PEGLI,GENOVA,GEEE850051,VIA PEGLI 45,44.4242088,8.8027543,http://istitutocomprensivopegli.gov.it,SCUOLA PRIMARIA,GEIC85000P,16156
I.C. SAN MARTINO/BORGORATTI,GENOVA,GEEE862035,VIA APPARIZIONE 16,44.405601399999995,8.9872862,http://www.icsmb.gov.it,SCUOLA PRIMARIA,GEIC862001,16133
ISTITUTO ISTRUZIONE SUPERIORE C.ROSSELLI,GENOVA,GETD022011,VIA GIOTTO 10,44.4233367,8.8547756,http://www.istitutorosselli.gov.it,ISTITUTO TECNICO COMMERCIALE,GEIS02200P,16153
I.C. PEGLI,GENOVA,GEEE85003V,VIA OPISSO 37,44.426465,8.8190419,http://istitutocomprensivopegli.gov.it,SCUOLA PRIMARIA,GEIC85000P,16155
ISTITUTO ISTRUZIONE SUPERIORE C.ROSSELLI,GENOVA,GEIS02200P,VIA GIOTTO 10,44.4233367,8.8547756,,ISTITUTO SUPERIORE,GEIS02200P,16153
I.C. QUARTO,GENOVA,GEAA859012,VIA PRIARUGGIA 12 A,44.390939200000005,8.9994738,http://www.icquarto.gov.it,SCUOLA INFANZIA,GEIC859005,16148
I.C. PEGLI,GENOVA,GEAA85001G,VIA GRANARA 10,44.4410643,8.8204334,http://www.istitutocomprensivopegli.gov.it,SCUOLA INFANZIA,GEIC85000P,16155
I.C. CORNIGLIANO,GENOVA,GEMM83601D,VIA CORNIGLIANO 9,44.415819799999994,8.8711234,,SCUOLA PRIMO GRADO,GEIC83600C,16152
I.C. CORNIGLIANO,GENOVA,GEEE83603L,VIA CORONATA 48,44.4261644,8.8777555,,SCUOLA PRIMARIA,GEIC83600C,16152
I.C. SAN MARTINO/BORGORATTI,GENOVA,GEAA86202V,VIA SCRIBANTI 2,44.4063914,8.974643400000001,http://www.icsmb.gov.it,SCUOLA INFANZIA,GEIC862001,16131
I.C. QUARTO,GENOVA,GEEE859028,VIA PRIARUGGIA 12,44.388694,8.9984263,http://www.icquarto.gov.it,SCUOLA PRIMARIA,GEIC859005,16148
I.C. SAN FRANCESCO DA PAOLA,GENOVA,GEEE812012,VIA BOLOGNA 86,44.4198577,8.9081435,http://www.sfdapaola.it,SCUOLA PRIMARIA,GEIC81200X,16127
I.C. QUARTO,GENOVA,GEEE859017,VIA SCIACCALUGA 4,44.4305178,8.9517085,http://www.icquarto.gov.it,SCUOLA PRIMARIA,GEIC859005,16147
I.C. SAN FRANCESCO DA PAOLA,GENOVA,GEIC81200X,VIA BOLOGNA 86,44.4198577,8.9081435,,ISTITUTO COMPRENSIVO,GEIC81200X,16127
I.C. BOLZANETO,GENOVA,GEMM82301B,VIA BOLZANETO 11,44.4593334,8.9025883,http://www.istitutocomprensivo-bolzaneto.gov.it,SCUOLA PRIMO GRADO,GEIC82300A,16162
I.C. SAN FRANCESCO DA PAOLA,GENOVA,GEAA81201R,VIA BOLOGNA 86,44.4198577,8.9081435,http://www.sfdapaola.it,SCUOLA INFANZIA,GEIC81200X,16127
I.C. CORNIGLIANO,GENOVA,GEAA836019,GIARDINI MELIS,47.81950125,9.65196821453724,,SCUOLA INFANZIA,GEIC83600C,16152
I.C.PRA',GENOVA,GEMM83501N,VIA BRANEGA 10 C,44.4291196,8.777277900000001,http://www.icpra.gov.it,SCUOLA PRIMO GRADO,GEIC83500L,16157
I.C. SAN FRANCESCO DA PAOLA,GENOVA,GEAA81202T,VIA SAN MARINO 223,44.4280046,8.907684800000002,http://www.sfdapaola.it,SCUOLA INFANZIA,GEIC81200X,16127
"L.S. E L.E.S. "" L. LANFRANCONI""",GENOVA,GEPS080004,VIA AI CANTIERI 2,44.42786725,8.74767606192006,http://www.lanfranconi.org,LICEO SCIENTIFICO,GEPS080004,16158
ISTITUTO COMPRENSIVO SESTRI,GENOVA,GEAA83901R,VIA SANT'ALBERTO 18,44.43084965,8.83869927445281,http://www.icsestri.it,SCUOLA INFANZIA,GEIC83900X,16154
I.C. SAN FRANCESCO DA PAOLA,GENOVA,GEEE812023,VIA SAN MARINO 223,44.4280046,8.907684800000002,http://www.sfdapaola.it,SCUOLA PRIMARIA,GEIC81200X,16127
LICEO CLASSICO SCIENTIFICO-SPORTIVO KING,GENOVA,GEPS07000D,VIA STURLA 63,44.39630505,8.98077999818532,http://www.liceoking.it,LICEO SCIENTIFICO,GEPS07000D,16131
I.C. SAN GIOVANNI BATTISTA,GENOVA,GEIC838004,VIA ANDREA DEL SARTO 20,44.4295502,8.849616900000001,,ISTITUTO COMPRENSIVO,GEIC838004,16153
I.C. SAN GIOVANNI BATTISTA,GENOVA,GEMM838015,SALITA INFERIORE CATALDI 5,44.428565899999995,8.844924,http://www.icsangiovannibattista.it,SCUOLA PRIMO GRADO,GEIC838004,16154
I.C. MONTALDO,GENOVA,GEEE83001G,VIA MONTALDO 8,44.4145318,8.949294199999999,http://www.icmontaldo-genova.gov.it,SCUOLA PRIMARIA,GEIC83000D,16137
I.C. CERTOSA,GENOVA,GEIC840004,VIA GAZ 3,44.4285609,8.8917562,,ISTITUTO COMPRENSIVO,GEIC840004,16159
I.C. CENTRO STORICO,GENOVA,GEAA807019,PIAZZA SARZANO 14 A,44.40412505,8.93145644166669,http://www.iccentrostoricoge.it,SCUOLA INFANZIA,GEIC80700C,16128
I.C. MONTALDO,GENOVA,GEIC83000D,VIA MONTALDO 8,44.4145318,8.949294199999999,,ISTITUTO COMPRENSIVO,GEIC83000D,16137
IC VOLTRI I,GENOVA,GEIC81300Q,SALITA EGEO 16,44.4286935,8.7439196,,ISTITUTO COMPRENSIVO,GEIC81300Q,16158
I.C. CERTOSA,GENOVA,GEMM840015,VIA GAZ 3,44.4285609,8.8917562,http://www.iccertosa.gov.it,SCUOLA PRIMO GRADO,GEIC840004,16159
ISTITUTO MAJORANA/GIORGI,GENOVA,GETF018511,VIA TIMAVO 63,44.4032752,8.9839966,http://www.majorana.gov.it,ISTITUTO TECNICO INDUSTRIALE,GEIS018003,16132
I.C. TERRALBA,GENOVA,GEEE85501X,PIAZZA MARTINEZ 2,44.4064549,8.956959300000001,http://terralbagenova.gov.it,SCUOLA PRIMARIA,GEIC85500T,16143
I.C. CENTRO STORICO,GENOVA,GEEE80702G,VICO DI MEZZAGALERA 4,44.4055768,8.932623300000001,http://www.iccentrostoricoge.it,SCUOLA PRIMARIA,GEIC80700C,16123
I.C. MONTALDO,GENOVA,GEAA83002B,VIA BOBBIO 68,44.428010799999996,8.9477975,http://www.icmontaldo-genova.gov.it,SCUOLA INFANZIA,GEIC83000D,16138
IC VOLTRI I,GENOVA,GEEE81302V,VIA PISSAPAOLA 48,44.4244384,8.7304039,http://www.icvoltri1.gov.it,SCUOLA PRIMARIA,GEIC81300Q,16158
